code,name
ABE,Allentown Lehigh Valley
ABI,Abilene Regional
ABQ,Albuquerque International Sunport
ABY,Albany Southwest Georgia Regional
ACK,Nantucket Memorial
ACT,Waco Regional
ACV,Arcata California Redwood Coast Humboldt County
AEX,Alexandria
AGS,Augusta Regional at Bush Field
ALB,Albany
ALO,Waterloo Regional
AMA,Rick Husband Amarillo
ANC,Ted Stevens Anchorage
ASE,Aspen Pitkin County Sardy Field
ATL,Hartsfield-Jackson Atlanta
ATW,Appleton
ATY,Watertown Regional
AUS,Austin - Bergstrom
AVL,Asheville Regional
AVP,Wilkes Barre Scranton
AZO,Kalamazoo/Battle Creek
BDL,Hartford Bradley
BFF,Scottsbluff W Neb Regional Wm B Heilig Field
BFL,Bakersfield Meadows Field
BGR,Bangor
BHM,Birmingham-Shuttlesworth
BIH,Bishop Airport
BIL,Billings Logan
BIS,Bismarck Municipal
BMI,Central Il Regional Airport at Bloomington
BNA,Nashville
BOI,Boise Air Terminal
BOS,Boston Logan
BPT,Beaumont Jack Brooks Regional
BRO,Brownsville South Padre Island
BTM,Butte Bert Mooney
BTR,Baton Rouge Metropolitan/Ryan Field
BTV,Patrick Leahy Burlington
BUF,Buffalo Niagara
BUR,Burbank Bob Hope
BWI,Baltimore/Washington International Thurgood Marshall
BZN,Bozeman Yellowstone
CAE,Columbia Metropolitan
CAK,Akron-Canton Regional
CHA,Chattanooga Lovell Field
CHO,Charlottesville Albemarle
CHS,Charleston AFB/International
CID,Cedar Rapids The Eastern Iowa
CIU,Sault Ste. Marie Chippewa County
CLE,Cleveland-Hopkins
CLL,College Station Easterwood Field
CLT,Charlotte Douglas
CMH,John Glenn Columbus
CMI,Champaign University of Illinois/Willard
CMX,Hancock Houghton County Memorial
COD,Cody Yellowstone Regional
COS,City of Colorado Springs Municipal
COU,Columbia Regional
CPR,Casper/Natrona County
CRP,Corpus Christi
CRW,Charleston West Virginia International Yeager
CVG,Cincinnati/Northern Kentucky
CWA,Mosinee Central Wisconsin
CYS,Cheyenne Regional/Jerry Olson Field
DAB,Daytona Beach
DAL,Dallas Love Field
DAY,James M Cox/Dayton
DCA,Ronald Reagan Washington National
DDC,Dodge City Regional
DEC,Decatur Airport
DEN,Denver
DFW,Dallas/Fort Worth
DHN,Dothan Regional
DIK,Dickinson - Theodore Roosevelt Regional
DLH,Duluth
DRO,Durango La Plata County
DSM,Des Moines
DTW,Detroit Metro Wayne County
DVL,Devils Lake Regional
EAR,Kearney Regional
EAU,Eau Claire Chippewa Valley Regional
ECP,Panama City Northwest Florida Beaches
EGE,Eagle County Regional
ELP,El Paso
ERI,Erie International/Tom Ridge Field
EUG,Eugene Mahlon Sweet Field
EVV,Evansville Regional
EWN,New Bern Coastal Carolina Regional
EWR,Newark Liberty
EYW,Key West
FAI,Fairbanks
FAR,Fargo Hector
FAT,Fresno Yosemite
FAY,Fayetteville Regional/Grannis Field
FCA,Kalispell Glacier Park
FLG,Flagstaff Pulliam
FLL,Fort Lauderdale-Hollywood
FMN,Farmington Four Corners Regional
FNT,Flint Bishop
FOD,Fort Dodge Regional
FSD,Sioux Falls Joe Foss Field
FSM,Fort Smith Regional
FWA,Fort Wayne
GCC,Gillette Northeast Wyoming Regional
GCK,Garden City Regional
GEG,Spokane
GGG,Longview East Texas Regional
GJT,Grand Junction Regional
GNV,Gainesville Regional
GPT,Gulfport-Biloxi
GRB,Green Bay Austin Straubel
GRI,Grand Island Central Nebraska Regional
GRK,Killeen Robert Gray AAF
GRR,Grand Rapids Gerald R. Ford
GSO,Greensboro Piedmont Triad
GSP,Greer Greenville-Spartanburg
GTF,Great Falls
GTR,Columbus Golden Triangle Regional
